Price,Color,Type,Suitable For,MS Office Provided,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Cache,Graphic Processor,Number of Cores,Operating System,Touchscreen,Screen Size,Screen Resolution,Screen Type,Wireless LAN,Bluetooth,Weight,Keyboard Backlight,Warranty Summary,Web Camera,Brightness,Refresh Rate,HDD Capacity,Brand
157959.1,Off Black,Gaming Laptop,Gaming,Yes,8.0,Intel,Core i9,1024.0,32.0,DDR5,12900H,5.0,24.0,NVIDIA GeForce RTX 3070 Ti,14.0,Windows 11 Home,No,43.94,3686400.0,IPS,6.0,5.2,2.9,Non-Backlit,1 Year Onsite Warranty,864000,300.0,60.0,0.0,asus
154598.12,Off Black,Gaming Laptop,Gaming,Yes,8.0,Intel,Core i9,1024.0,32.0,DDR5,12900H,5.0,24.0,NVIDIA GeForce RTX 3070 Ti,14.0,Windows 11 Home,No,39.62,3686400.0,IPS,6.0,5.2,2.3,Non-Backlit,1 Year Onsite Warranty,864000,300.0,60.0,0.0,asus
69969.45,Mica Silver,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 7 Octa Core,512.0,16.0,DDR4,5800H,4.4,16.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,40.89,2073600.0,IPS,6.0,5.2,2.48,RGB,1 Year Onsite Warranty,864000,300.0,144.0,0.0,hp
58962.93,Shadow Black,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 7 Octa Core,512.0,16.0,DDR4,5800H,3.2,16.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,39.62,2073600.0,TN,5.0,5.0,2.25,RGB,1 Year Warranty,864000,250.0,120.0,0.0,lenovo
52696.72,Slate Grey,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i7,512.0,16.0,DDR4,1135G7,2.4,8.0,Intel Integrated Iris Xe Graphics,4.0,Windows 11 Home,No,35.56,2073600.0,IPS,6.0,5.0,1.36,RGB,1 Year Warranty,864000,300.0,60.0,0.0,lenovo
61376.78,Abyss Blue,2 in 1 Laptop,Processing & Multitasking,Yes,0.0,AMD,Ryzen 7 Octa Core,1024.0,16.0,DDR4,5700U,1.8,8.0,AMD Radeon Integrated AMD Radeon  Graphics,8.0,Windows 11 Home,Yes,33.78,2073600.0,IPS,6.0,5.0,1.31,RGB,1 Year Warranty,864000,300.0,60.0,0.0,lenovo
43685.95,Black,Gaming Laptop,"Gaming, Entertainment, Processing & Multitasking, Everyday Use, Performance",No,4.0,Intel,Core i5,1024.0,8.0,DDR4,10300H,2.5,8.0,NVIDIA GeForce GTX 1650,4.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.0,2.3,Non-Backlit,1 Year On site Manufacturing warranty,864000,250.0,144.0,0.0,asus
22181.76,Carbon Black,Notebook,Everyday Use,Yes,0.0,Intel,Pentium Silver,256.0,8.0,DDR4,N5030,3.1,4.0,Intel Integrated UHD Graphics,4.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,5.0,1.61,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,dell
20831.32,Carbon Black,Notebook,Everyday Use,Yes,0.0,AMD,Athlon Dual Core,256.0,8.0,DDR4,3050U,3.2,4.0,AMD Radeon,2.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,5.0,1.68,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,dell
100590.62,Platinum Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,16.0,LPDDR4X,1135G7,4.2,8.0,Intel Integrated Iris Xe,8.0,Windows 11 Home,No,34.04,2073600.0,WVA,6.0,5.1,1.16,Non-Backlit,1 Year Premium Support Plus,864000,250.0,60.0,0.0,dell
87378.62,Black,2 in 1 Gaming Laptop,"Gaming, Processing & Multitasking",Yes,4.0,AMD,Ryzen 9 Octa Core,1024.0,32.0,LPDDR4X,5900HS,4.5,16.0,NVIDIA GeForce GTX 1650,8.0,Windows 10 Home,Yes,34.04,2304000.0,IPS,6.0,5.1,1.3,Non-Backlit,1 Year Onsite Warranty,864000,300.0,120.0,0.0,asus
32258.64,Hearty Gold,Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking",Yes,0.0,Intel,Core i3,256.0,8.0,DDR4,1115G4,4.1,6.0,Intel Integrated UHD,2.0,Windows 11 Home,No,39.62,2073600.0,TN,5.0,5.0,1.8,Non-Backlit,1 Year Onsite Warranty,864000,400.0,60.0,0.0,asus
69901.55,Obsidian Black,Gaming Laptop,Gaming,Yes,4.0,Intel,Core i7,512.0,16.0,DDR4,11800H,4.4,24.0,NVIDIA GeForce RTX 3050 Ti,8.0,Windows 11 Home,No,39.62,2073600.0,WVA,6.0,5.0,2.65,RGB,1 Year Onsite Warranty,864000,300.0,165.0,0.0,dell
46710.83,Grey,Gaming Laptop,Gaming,Yes,4.0,AMD,Ryzen 5 Hexa Core,512.0,8.0,DDR4,5600H,4.4,16.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,39.62,2073600.0,IPS,6.0,5.0,2.57,RGB,1 Year Premium Support,864000,250.0,120.0,0.0,dell
50407.9,Neutral Grey,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,16.0,DDR4,12500H,4.5,18.0,Intel Integrated Iris Xe Graphics,8.0,Windows 11 Home,No,35.56,5184000.0,TN,6.0,5.2,1.5,Non-Backlit,1 Year Onsite Warranty,864000,250.0,60.0,0.0,asus
63851.8,Indie Black,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i7,512.0,16.0,DDR4,12700H,4.7,24.0,Intel Integrated Iris Xe,6.0,Windows 11 Home,No,35.56,5184000.0,TN,6.0,5.2,1.5,Non-Backlit,1 Year Onsite Warranty,864000,600.0,90.0,0.0,asus
60490.83,Ponder Blue,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,16.0,LPDDR5,1240P,4.4,12.0,Intel Integrated Iris Xe,12.0,Windows 11 Home,No,35.56,5184000.0,TN,6.0,5.2,1.39,Non-Backlit,1 Year Onsite Warranty,864000,400.0,90.0,0.0,asus
