Aspect Ratio,Circularity,Convexity,Solidity,Rectangularity,Herbal
0.372222222,0.414547603,1.048037889,0.986465435,1.371268303,Bayabas
0.43364486,0.447313077,1.045098039,0.988798714,1.363776205,Bayabas
0.401473297,0.443101025,1.053359684,0.989713696,1.31300538,Bayabas
0.375886525,0.42789402,1.048449612,0.98857061,1.333065757,Bayabas
0.405679513,0.428202581,1.05788712,0.987780566,1.353763352,Bayabas
0.39874739,0.388079226,1.110447761,0.984394345,1.337988827,Bayabas
0.384965831,0.368405897,1.126029654,0.984969435,1.354245765,Bayabas
0.383947939,0.403739005,1.072327044,0.984015408,1.365069009,Bayabas
0.384120172,0.39861848,1.079315708,0.979154984,1.36493651,Bayabas
0.3975,0.460065965,1.000896057,0.990244748,1.392324701,Bayabas
0.349056604,0.383386708,1.089473684,0.985240857,1.333389996,Bayabas
0.349009901,0.430670679,1.02946593,0.9856423,1.329784999,Bayabas
0.395238095,0.421731694,1.056410256,0.985582468,1.359859567,Bayabas
0.34537246,0.374131175,1.089225589,0.982150597,1.359604429,Bayabas
0.374509804,0.443081824,1.020714286,0.989840528,1.352897876,Bayabas
0.343859649,0.372841562,1.082677165,0.969979346,1.383084084,Bayabas
0.434163701,0.463532604,1.013715711,0.984891941,1.40609491,Bayabas
0.354098361,0.427953557,1.042579075,0.983408036,1.316967855,Bayabas
0.353535354,0.409852297,1.041147132,0.981399163,1.371372032,Bayabas
0.376623377,0.423809137,1.042553191,0.984945752,1.361792956,Bayabas
1.083900227,0.104374381,2.065359477,0.721011802,1.765004354,Ampalaya
0.96327212,0.071783067,2.289787234,0.641504385,2.089606472,Ampalaya
1.042505593,0.093759834,2.078990675,0.678258613,1.943605199,Ampalaya
0.954070981,0.087614867,2.146901709,0.684468675,1.94378291,Ampalaya
0.93438914,0.102885777,2.135831382,0.729961679,1.675394881,Ampalaya
1.043147208,0.09146763,2.11242236,0.679998708,1.923389396,Ampalaya
0.958656331,0.072729655,2.197620621,0.601445665,2.243881474,Ampalaya
0.938118812,0.087089073,2.164638053,0.669917708,1.935041957,Ampalaya
0.89373297,0.117103807,1.830569575,0.666836871,2.003795319,Ampalaya
1.009202454,0.104265592,1.99770291,0.705586927,1.899040334,Ampalaya
0.730769231,0.613961044,1,0.977890082,1.276485788,Malunggay
0.785714286,0.61443494,1,0.979871912,1.294117647,Malunggay
0.659574468,0.612980423,1,0.978298611,1.292812777,Malunggay
0.673076923,0.61755325,1.005882353,0.982900137,1.266527488,Malunggay
0.740740741,0.617267749,0.994565217,0.977421272,1.313069909,Malunggay
0.862068966,0.623762186,1.004716981,0.983406114,1.287744227,Malunggay
0.630769231,0.557098253,1,0.984094407,1.389468196,Malunggay
0.625,0.602410356,1,0.981308411,1.28320802,Malunggay
0.723076923,0.546929327,1,0.98079561,1.424242424,Malunggay
0.731343284,0.567111139,1,0.980359382,1.39940324,Malunggay
0.376168224,0.328463836,1.091758709,0.965683313,1.596561651,Sambong
